INFO:lora-to-gguf:Loading base model: qwen3-4b-instruct-2507-training-cdbee75f
INFO:lora-to-gguf:Using model architecture: Qwen3ForCausalLM
INFO:hf-to-gguf:gguf: loading model weight map from 'model.safetensors.index.json'
INFO:hf-to-gguf:gguf: indexing model part 'model-00001-of-00003.safetensors'
INFO:hf-to-gguf:gguf: indexing model part 'model-00002-of-00003.safetensors'
INFO:hf-to-gguf:gguf: indexing model part 'model-00003-of-00003.safetensors'
INFO:gguf.gguf_writer:gguf: This GGUF file is for Little Endian only
INFO:lora-to-gguf:Exporting model...
INFO:hf-to-gguf:blk.5.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.5.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.5.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.6.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.6.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.6.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.6.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.7.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.7.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.7.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.7.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.8.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.8.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.8.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.8.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:blk.9.attn_q.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.9.attn_q.weight.lora_b, torch.float32 --> F32, shape = {8, 4096}
INFO:hf-to-gguf:blk.9.attn_v.weight.lora_a, torch.float32 --> F32, shape = {2560, 8}
INFO:hf-to-gguf:blk.9.attn_v.weight.lora_b, torch.float32 --> F32, shape = {8, 1024}
INFO:hf-to-gguf:Set meta model
INFO:hf-to-gguf:Set model parameters
INFO:hf-to-gguf:Set model quantization version
INFO:hf-to-gguf:Set model tokenizer
INFO:gguf.gguf_writer:Writing the following files:
INFO:gguf.gguf_writer:D:\BAXYRuntime\experiments\models\qwen3-4b-instruct-2507-training-cdbee75f\c03-pilot-lora-v1-f32.gguf: n_tensors = 144, total_size = 11.8M
INFO:lora-to-gguf:Model successfully exported to D:\BAXYRuntime\experiments\models\qwen3-4b-instruct-2507-training-cdbee75f\c03-pilot-lora-v1-f32.gguf
